[[-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1],
[-1,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1],
[-1,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1, 8, 1, 1, 9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1],
[ 3, 0, 2, 5,-1,-1,-1,-1,10, 4, 5,-1,-1,-1,-1,-1,10,11,11,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1],
[13,-1,-1,-1,-1,-1,-1,-1,10,12,-1,-1,-1,-1,-1,-1,10,11,11,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1],
[13,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,10,11,11,11, 9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1],
[13,-1,-1, 3, 4, 0, 2, 4,12,-1,-1, 3, 4, 0, 2, 4,11,11,11,11,11, 1, 1, 1, 2, 5,-1,-1,-1,-1,-1,-1],
[13,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,11,11,11,11,11,11,11,11,11,11,11,11,-1,-1,-1, 6,-1,-1,-1],
[13,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1],
[13,-1,-1,-1, 6,-1,-1,-1,10, 5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1, 6],
[10, 0, 1, 2,12,-1,-1,-1,10,11, 4, 4, 5,-1,-1,-2,-1,-1,-1,15,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,13],
[10,11,11,11,12,-1, 3, 4,11,11,11,11,11, 5,-1,-1, 3, 0, 2, 0, 1, 2, 5,-1,-1,-1,-1, 3, 5,-1,-1,13],
[10,11,11,12,-1,-1,-1,10,12,-1,-1,-1,-1,-1,-1,-1,10,11,11,11,11,11,12,-1,-1,-1,-1,-1,-1,-1,-1,13],
[10,11,12,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,10,11,11,11,11,11,12,-1,-1,-1,-1,-1,-1,-1, 6,13],
[10,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1, 6,-1,10,11,11,11,11,11,12,-1,-1,-1,-1,-1,-1,-1,13,13],
[10,12,-1,-1,-1,-1,-2,-1,-1,15,-1,-1,-1, 3,12,-1,10,11,11,11,11,11,12,-1,-1,-1, 3, 4, 5,-1,13,13],
[10,12,-1, 3, 5,-1,-1, 3, 0, 1, 1, 1, 9,10,12,-1,10,11,11,11,11,11,12,-1,-1,-1,10,11,12,-1,13,13]]
